0,0,-0.001
0.016,-1.0728e-05,-0.002
0.048,-9.4025e-05,-0.003
0.064,-0.00016281,-0.004
0.079,-0.00023491,-0.005
0.097,-0.00031957,-0.006
0.114,-0.00039223,-0.007
0.13,-0.00045155,-0.008
0.148,-0.00050701,-0.009
0.165,-0.00055554,-0.01
0.181,-0.00061075,-0.011
0.198,-0.00068384,-0.012
0.214,-0.00075609,-0.013
0.232,-0.00083844,-0.014
0.249,-0.00092493,-0.015
0.267,-0.0010281,-0.016
0.282,-0.0011232,-0.017
0.298,-0.0012345,-0.018
0.316,-0.0013709,-0.019
0.331,-0.0014897,-0.02
0.349,-0.0016306,-0.021
0.364,-0.0017461,-0.022
0.382,-0.0018878,-0.023
0.398,-0.0020229,-0.024
0.415,-0.0021832,-0.025
0.433,-0.0023754,-0.026
0.448,-0.0025483,-0.027
0.466,-0.00276,-0.028
0.484,-0.002978,-0.029
0.501,-0.0031942,-0.03
0.519,-0.0034355,-0.031
0.521,-0.0034632,-0.032
0.537,-0.0036813,-0.033
0.555,-0.0039144,-0.034
0.573,-0.0041348,-0.035
0.59,-0.0043419,-0.036
0.608,-0.0045794,-0.037
0.625,-0.0048301,-0.038
0.643,-0.0051163,-0.039
0.661,-0.0054112,-0.04
0.676,-0.0056617,-0.041
0.692,-0.0059406,-0.042
0.708,-0.0062347,-0.043
0.724,-0.0065351,-0.044
0.742,-0.0068683,-0.045
0.759,-0.0071842,-0.046
0.777,-0.0075344,-0.047
0.792,-0.0078387,-0.048
0.808,-0.0081713,-0.049
0.826,-0.0085592,-0.05
0.843,-0.0089411,-0.051
0.861,-0.0093522,-0.052
0.876,-0.0096971,-0.053
0.892,-0.010072,-0.054
0.909,-0.010482,-0.055
0.924,-0.010855,-0.056
0.942,-0.011312,-0.057
0.959,-0.011748,-0.058
0.977,-0.012222,-0.059
0.993,-0.012658,-0.06
1.008,-0.013074,-0.061
1.025,-0.013549,-0.062
1.04,-0.013969,-0.063
1.058,-0.014486,-0.064
1.074,-0.014959,-0.065
1.091,-0.015468,-0.066
1.109,-0.016012,-0.067
1.124,-0.016472,-0.068
1.142,-0.017022,-0.069
1.16,-0.017565,-0.07
1.177,-0.018079,-0.071
1.193,-0.018576,-0.072
1.208,-0.019054,-0.073
1.225,-0.019608,-0.074
1.241,-0.020142,-0.075
1.258,-0.02072,-0.076
1.274,-0.021272,-0.077
1.291,-0.021873,-0.078
1.309,-0.022525,-0.079
1.327,-0.023189,-0.08
1.344,-0.023823,-0.081
1.36,-0.024426,-0.082
1.375,-0.025,-0.083
1.392,-0.025663,-0.084
1.408,-0.026296,-0.085
1.425,-0.026962,-0.086
1.443,-0.027653,-0.087
1.46,-0.028295,-0.088
1.476,-0.028892,-0.089
1.492,-0.029486,-0.09
1.508,-0.030082,-0.091
1.524,-0.030683,-0.092
1.541,-0.031327,-0.093
1.559,-0.032023,-0.094
1.577,-0.032744,-0.095
1.594,-0.033446,-0.096
1.61,-0.034116,-0.097
1.625,-0.034758,-0.098
1.642,-0.035504,-0.099
1.658,-0.036215,-0.1
1.675,-0.036984,-0.101
1.693,-0.037815,-0.102
1.71,-0.038606,-0.103
1.726,-0.039352,-0.104
1.742,-0.040104,-0.105
1.758,-0.040862,-0.106
1.774,-0.041625,-0.107
1.791,-0.042454,-0.108
1.809,-0.04336,-0.109
1.827,-0.044284,-0.11
1.844,-0.045172,-0.111
1.86,-0.046023,-0.112
1.875,-0.04683,-0.113
1.892,-0.047925,-0.115
1.908,-0.049293,-0.117
1.925,-0.050993,-0.119
1.943,-0.052841,-0.121
1.96,-0.054447,-0.122
1.976,-0.055802,-0.123
1.992,-0.057043,-0.124
2.008,-0.058144,-0.125
2.024,-0.059302,-0.127
2.041,-0.060972,-0.129
2.059,-0.063393,-0.131
2.077,-0.066373,-0.133
2.094,-0.069644,-0.136
2.11,-0.073235,-0.139
2.127,-0.077774,-0.143
2.143,-0.082664,-0.147
2.159,-0.087978,-0.151
2.191,-0.099724,-0.155
2.208,-0.10643,-0.16
2.226,-0.11385,-0.165
2.244,-0.12185,-0.17
2.259,-0.12904,-0.176
2.275,-0.13739,-0.182
2.291,-0.14637,-0.189
2.307,-0.15572,-0.196
2.325,-0.16646,-0.203
2.342,-0.17676,-0.21
2.36,-0.18761,-0.216
2.377,-0.19775,-0.223
2.393,-0.2074,-0.23
2.409,-0.2173,-0.237
2.425,-0.22754,-0.244
2.441,-0.23795,-0.251
2.458,-0.24898,-0.258
2.476,-0.26062,-0.265
2.494,-0.27221,-0.272
2.509,-0.28185,-0.279
2.525,-0.29224,-0.286
2.541,-0.30268,-0.293
2.557,-0.31301,-0.3
2.575,-0.3244,-0.307
2.592,-0.33497,-0.314
2.61,-0.34584,-0.32
2.627,-0.35574,-0.326
2.643,-0.3648,-0.332
2.659,-0.37371,-0.338
2.675,-0.38257,-0.344
2.691,-0.39147,-0.35
2.708,-0.40085,-0.356
2.726,-0.41043,-0.362
2.744,-0.41964,-0.368
2.761,-0.42812,-0.373
2.777,-0.43595,-0.378
2.792,-0.44317,-0.383
2.809,-0.45121,-0.388
2.825,-0.45848,-0.393
2.842,-0.46579,-0.398
2.86,-0.47318,-0.402
2.877,-0.47993,-0.406
2.893,-0.48632,-0.411
2.909,-0.49296,-0.416
2.925,-0.49977,-0.421
2.941,-0.50639,-0.425
2.99,-0.52543,-0.429
3.005,-0.53101,-0.433
3.025,-0.53836,-0.437
3.042,-0.54448,-0.441
3.06,-0.55095,-0.445
3.078,-0.55738,-0.449
3.093,-0.56246,-0.453
3.111,-0.56812,-0.457
3.128,-0.57303,-0.46
3.146,-0.57768,-0.463
3.164,-0.5818,-0.466
3.181,-0.58533,-0.469
3.199,-0.58871,-0.471
3.214,-0.59121,-0.473
3.232,-0.59382,-0.475
3.248,-0.5959,-0.477
3.263,-0.59766,-0.479
3.28,-0.5993,-0.48
3.295,-0.60048,-0.481
3.313,-0.60181,-0.482
3.331,-0.60316,-0.483
3.348,-0.60447,-0.484
3.364,-0.60572,-0.485
3.379,-0.60691,-0.486
3.395,-0.60819,-0.487
3.413,-0.60964,-0.488
3.43,-0.61102,-0.489
3.449,-0.61257,-0.49
3.466,-0.61399,-0.491
3.482,-0.61536,-0.492
3.5,-0.61692,-0.493
3.517,-0.61841,-0.494
3.533,-0.61983,-0.495
3.55,-0.62134,-0.496
3.568,-0.62297,-0.497
3.586,-0.62461,-0.498
3.603,-0.62615,-0.499
3.621,-0.62778,-0.5
3.638,-0.62934,-0.501
3.656,-0.63101,-0.502
3.674,-0.6327,-0.503
3.676,-0.63289,-0.504
3.692,-0.63441,-0.505
3.71,-0.63611,-0.506
3.727,-0.63771,-0.507
3.745,-0.63941,-0.508
3.761,-0.64092,-0.509
3.778,-0.64253,-0.51
3.794,-0.64405,-0.511
3.811,-0.64567,-0.512
3.829,-0.64738,-0.513
3.845,-0.64891,-0.515
3.862,-0.65057,-0.517
3.88,-0.65234,-0.519
3.897,-0.65403,-0.521
3.913,-0.65563,-0.523
3.93,-0.65735,-0.525
3.945,-0.65889,-0.527
3.963,-0.66077,-0.529
3.98,-0.66255,-0.531
3.997,-0.66435,-0.533
4.015,-0.66626,-0.535
4.03,-0.66787,-0.537
4.046,-0.66961,-0.539
4.062,-0.67135,-0.541
4.08,-0.67333,-0.543
4.096,-0.6751,-0.545
4.113,-0.67699,-0.547
4.132,-0.6791,-0.549
4.149,-0.681,-0.551
4.168,-0.68315,-0.553
4.186,-0.68519,-0.555
4.201,-0.68691,-0.557
4.219,-0.68898,-0.559
4.236,-0.69094,-0.561
4.254,-0.69303,-0.563
4.272,-0.69511,-0.565
4.289,-0.69706,-0.567
4.307,-0.69911,-0.569
4.322,-0.70084,-0.571
4.34,-0.70294,-0.573
4.342,-0.70317,-0.575
4.359,-0.70518,-0.577
4.376,-0.7072,-0.579
4.394,-0.70932,-0.581
4.411,-0.71134,-0.583
4.429,-0.71348,-0.585
4.448,-0.71577,-0.587
4.465,-0.7178,-0.589
4.481,-0.71965,-0.591
4.496,-0.7212,-0.592
4.513,-0.72252,-0.593
4.529,-0.72328,-0.594
4.546,-0.72355,-0.594
4.564,-0.72321,-0.594
4.581,-0.7223,-0.594
4.599,-0.72075,-0.593
4.615,-0.71883,-0.592
4.63,-0.7165,-0.59
4.647,-0.71314,-0.588
4.662,-0.70951,-0.585
4.68,-0.70435,-0.582
4.699,-0.69784,-0.578
4.716,-0.69116,-0.574
4.734,-0.68361,-0.57
4.749,-0.67706,-0.566
4.767,-0.66888,-0.562
4.783,-0.66141,-0.557
4.8,-0.65318,-0.552
4.818,-0.64408,-0.547
4.835,-0.63529,-0.542
4.853,-0.626,-0.537
4.871,-0.61692,-0.532
4.888,-0.60866,-0.527
4.906,-0.60012,-0.523
4.923,-0.59219,-0.519
4.925,-0.59127,-0.515
4.943,-0.58318,-0.511
4.992,-0.56295,-0.507
5.007,-0.55731,-0.504
5.03,-0.54932,-0.501
5.048,-0.54359,-0.498
5.065,-0.53848,-0.495
5.083,-0.53328,-0.492
5.1,-0.52858,-0.489
5.116,-0.52447,-0.487
5.134,-0.52035,-0.485
5.151,-0.5169,-0.483
5.167,-0.51389,-0.481
5.183,-0.511,-0.479
5.199,-0.50827,-0.478
5.217,-0.50534,-0.477
5.234,-0.50262,-0.476
5.252,-0.49982,-0.475
5.27,-0.49738,-0.474
5.288,-0.49532,-0.473
5.306,-0.49321,-0.472
5.324,-0.49094,-0.471
5.342,-0.48883,-0.47
5.357,-0.48749,-0.47
5.376,-0.48637,-0.47
5.394,-0.48558,-0.47
5.411,-0.48493,-0.47
5.413,-0.48486,-0.47
5.43,-0.48421,-0.47
5.447,-0.48357,-0.47
5.465,-0.48324,-0.47
5.483,-0.48347,-0.471
5.5,-0.48425,-0.472
5.516,-0.48549,-0.473
5.533,-0.48724,-0.475
5.549,-0.48944,-0.477
5.567,-0.49282,-0.48
5.585,-0.49697,-0.483
5.603,-0.50158,-0.486
5.62,-0.50634,-0.489
5.636,-0.51128,-0.493
5.652,-0.51653,-0.497
5.668,-0.52189,-0.501
5.684,-0.52726,-0.505
5.701,-0.53296,-0.509
5.719,-0.53901,-0.513
5.737,-0.54505,-0.517
5.752,-0.55008,-0.521
5.768,-0.55545,-0.525
5.784,-0.56083,-0.529
5.8,-0.56623,-0.533
5.818,-0.57231,-0.537
5.835,-0.57805,-0.541
5.853,-0.58414,-0.545
5.87,-0.58989,-0.549
5.886,-0.59526,-0.553
5.902,-0.60056,-0.557
5.918,-0.60573,-0.56
5.934,-0.61074,-0.563
5.951,-0.616,-0.566
5.967,-0.62099,-0.569
5.984,-0.62636,-0.572
5.999,-0.63116,-0.575
6.017,-0.63698,-0.578
6.034,-0.64247,-0.581
6.05,-0.64763,-0.584
6.068,-0.65346,-0.587
6.085,-0.65898,-0.59
6.103,-0.66484,-0.593
6.12,-0.67038,-0.597
6.136,-0.67562,-0.601
6.152,-0.68086,-0.605
6.168,-0.68611,-0.609
6.184,-0.69136,-0.613
6.201,-0.69694,-0.617
6.219,-0.70285,-0.621
6.237,-0.70876,-0.625
6.252,-0.71369,-0.629
6.268,-0.71894,-0.633
6.284,-0.72421,-0.637
6.3,-0.72948,-0.641
6.318,-0.73542,-0.645
6.333,-0.74037,-0.649
6.351,-0.74632,-0.653
6.366,-0.75128,-0.657
6.384,-0.75725,-0.661
6.4,-0.76257,-0.665
6.417,-0.76824,-0.669
6.435,-0.77426,-0.673
6.453,-0.78028,-0.677
6.471,-0.78631,-0.681
6.487,-0.79166,-0.685
6.504,-0.79736,-0.689
6.523,-0.80372,-0.693
6.54,-0.80942,-0.697
6.556,-0.81479,-0.701
6.574,-0.82084,-0.705
6.591,-0.82657,-0.709
6.609,-0.83267,-0.713
6.626,-0.83844,-0.717
6.644,-0.84456,-0.721
6.662,-0.85067,-0.725
6.664,-0.85135,-0.729
6.68,-0.8568,-0.733
6.698,-0.86295,-0.737
6.715,-0.86874,-0.741
6.733,-0.87487,-0.745
6.751,-0.88098,-0.749
6.769,-0.88711,-0.753
6.787,-0.89325,-0.757
6.802,-0.89838,-0.761
6.818,-0.90385,-0.765
6.835,-0.90968,-0.769
6.85,-0.91484,-0.773
6.868,-0.92103,-0.777
6.885,-0.92688,-0.781
6.903,-0.93306,-0.785
6.921,-0.93924,-0.789
6.936,-0.94437,-0.793
6.952,-0.94985,-0.797
7.001,-0.96666,-0.801
7.016,-0.97183,-0.805
7.044,-0.98153,-0.809
7.061,-0.98745,-0.813
7.079,-0.99373,-0.817
7.097,-1,-0.821
7.114,-1.0059,-0.825
7.132,-1.0122,-0.829
7.15,-1.0185,-0.833
7.168,-1.0248,-0.837
7.184,-1.0304,-0.841
7.201,-1.0363,-0.845
7.219,-1.0426,-0.849
7.236,-1.0486,-0.853
7.254,-1.0549,-0.857
7.272,-1.0612,-0.861
7.289,-1.0672,-0.865
7.307,-1.0735,-0.869
7.324,-1.0794,-0.873
7.343,-1.086,-0.877
7.344,-1.0864,-0.881
7.361,-1.0923,-0.885
7.377,-1.0979,-0.889
7.395,-1.1042,-0.893
7.413,-1.1104,-0.897
7.431,-1.1167,-0.901
7.449,-1.123,-0.905
7.466,-1.129,-0.909
7.484,-1.1352,-0.913
7.499,-1.1405,-0.917
7.515,-1.146,-0.921
7.533,-1.1523,-0.925
7.551,-1.1586,-0.929
7.569,-1.1649,-0.933
7.584,-1.1702,-0.937
7.602,-1.1765,-0.941
7.62,-1.1828,-0.945
7.637,-1.1888,-0.949
7.655,-1.1952,-0.953
7.672,-1.2011,-0.957
7.69,-1.2075,-0.961
7.708,-1.2138,-0.965
7.725,-1.2198,-0.969
7.743,-1.2262,-0.973
7.743,-1.2262,-0.977
7.758,-1.2315,-0.981
7.778,-1.2386,-0.985
7.796,-1.2449,-0.989
7.813,-1.2509,-0.993
7.832,-1.2576,-0.997
7.849,-1.2636,-1.001
7.865,-1.2692,-1.005
7.883,-1.2756,-1.009
7.9,-1.2815,-1.013
7.918,-1.2879,-1.017
7.933,-1.2931,-1.021
7.949,-1.2988,-1.025
7.967,-1.3051,-1.029
7.984,-1.3111,-1.033
8,-1.3167,-1.037
8.015,-1.322,-1.041
8.032,-1.328,-1.045
8.048,-1.3337,-1.049
8.065,-1.3397,-1.053
8.081,-1.3453,-1.057
8.098,-1.3514,-1.061
8.116,-1.3578,-1.065
8.134,-1.3642,-1.069
8.151,-1.3703,-1.073
8.167,-1.376,-1.077
8.182,-1.3813,-1.081
8.199,-1.3874,-1.085
8.215,-1.3931,-1.089
8.232,-1.3992,-1.093
8.25,-1.4057,-1.097
8.267,-1.4119,-1.101
8.283,-1.4177,-1.105
8.299,-1.4235,-1.109
8.315,-1.4293,-1.113
8.331,-1.4351,-1.117
8.348,-1.4412,-1.121
8.366,-1.4477,-1.125
8.382,-1.4535,-1.129
8.398,-1.4593,-1.133
8.414,-1.4651,-1.137
